user_id,concentration_id
4929,1
4773,1
5708,1
5413,1
5647,1
5209,1
3011,1
5056,1
2092,1
5312,1
1102,1
2478,1
1981,1
5885,1
4522,1
5086,1
2838,1
1548,1
2341,1
4544,1
1904,1
5291,1
3825,1
4164,1
1973,1
5994,1
5736,1
4583,1
5399,1
4980,1
5224,1
60,1
450,1
2834,1
4440,1
2770,1
2496,1
405,1
5395,1
5392,1
420,1
3826,1
2788,1
4008,1
4302,1
5653,1
1128,1
4802,1
1815,1
4843,1
5479,1
3119,1
2105,1
3635,1
369,1
2064,1
1748,1
4627,1
5795,1
1564,1
4898,1
5978,1
3581,1
5582,1
5570,1
4858,1
585,1
1282,1
4817,1
2705,1
17,1
4920,1
895,1
4798,1
5528,1
3072,1
376,1
1740,1
80,1
4183,1
4036,1
5157,1
2877,1
5977,1
5527,1
35,1
872,1
192,1
4738,1
2513,1
4666,1
2414,1
2270,1
4512,1
957,1
1012,1
410,1
5673,1
4890,1
5974,1
69,1
5976,1
6038,1
4905,1
5016,1
5537,1
3264,1
411,1
5861,1
3766,1
5569,1
2998,1
3430,1
4001,1
870,1
3664,1
938,1
1756,1
899,1
379,1
4048,1
2038,1
5852,1
5498,1
5430,1
1419,1
5451,1
1376,1
5573,1
4224,1
3229,1
5024,1
2885,1
5562,1
1024,1
5446,1
5612,1
5609,1
4946,1
1962,1
4914,1
2183,1
2314,1
3784,1
5999,1
3330,1
3829,1
5763,1
3078,1
1236,1
2320,1
2525,1
1283,1
183,1
1510,1
2252,1
3682,1
5294,2
1749,2
269,2
1837,2
1668,2
4543,2
2916,2
643,2
1443,2
2247,2
4957,2
5767,2
2094,2
3673,2
5111,2
4235,2
5289,2
4665,2
1268,2
5827,2
3526,2
514,2
665,2
3763,2
5326,2
1316,2
3588,2
2282,2
4807,2
3126,2
5281,2
5781,2
4339,2
1041,2
3638,2
2908,2
1133,2
1931,2
5212,2
4678,2
3937,2
1370,2
3611,2
1881,2
1003,2
1223,2
553,2
1674,2
333,2
2920,2
3938,2
3923,2
1792,2
2698,2
2016,2
1301,2
5410,2
2535,2
5042,2
5424,2
4603,2
475,2
3417,2
1953,2
5257,2
5755,2
4077,2
4973,2
5268,2
2519,2
4408,2
1140,2
1364,2
2520,2
5001,2
1479,2
4256,2
5440,2
2926,2
849,3
5006,3
1684,3
4109,3
36,3
355,3
4779,3
3282,3
3515,3
1077,3
3867,3
3541,3
1145,3
1752,3
3879,3
2008,3
4088,3
3817,3
1306,3
5922,3
4118,3
3770,3
992,3
1587,3
4928,3
3171,3
421,3
340,3
4850,3
2011,3
5845,3
2392,3
4029,3
5364,3
668,3
325,3
101,3
5197,3
776,3
3601,3
1319,3
2482,3
4236,3
2508,3
3039,3
3009,3
4174,3
1429,3
1536,3
1969,3
4252,3
894,4
274,4
5084,4
63,4
2078,4
73,4
698,4
3912,4
202,4
2184,4
489,4
3054,4
2972,4
5811,4
3489,4
5280,4
2015,4
152,4
4441,4
2083,4
4133,4
1262,4
3793,4
1626,4
436,4
1578,4
309,4
1529,4
2952,4
5628,4
